Dataset|Attribute Name|Embeddings|Similarity Measure|Duplicates Type|Valid Pairs|BF Pairs|Domain|Average Characters D1|Average Tokens D1|Coverage D1|Average Characters D2|Average Tokens D2|Coverage D2|Portion of Valid Pairs|CNC Precision|CNC Recall|CNC F-Measure|CNC Threshold|CNC Run-time|RSR Precision|RSR Recall|RSR F-Measure|RSR Threshold|RSR Run-time|RCA Precision|RCA Recall|RCA F-Measure|RCA Threshold|RCA Run-time|BAH Precision|BAH Recall|BAH F-Measure|BAH Threshold|BAH Run-time|BMC Precision|BMC Recall|BMC F-Measure|BMC Threshold|BMC Run-time|EXC Precision|EXC Recall|EXC F-Measure|EXC Threshold|EXC Run-time|KRC Precision|KRC Recall|KRC F-Measure|KRC Threshold|KRC Run-time|UMC Precision|UMC Recall|UMC F-Measure|UMC Threshold|UMC Run-time|BMC Configuration
Restaurants|Name|FastText|Cosine Similarity|Scarce|339387|764784|Restaurants|11|2|0.67|11|2|0.67|0.44|0.791208804|0.80898875|0.800000012|0.899999976|9|0.795454562|0.786516845|0.790960491|0.949999988|29|0.795180738|0.741573036|0.767441869|0.949999988|16|0.800000012|0.76404494|0.781609237|0.949999988|1950|0.795454562|0.786516845|0.790960491|0.949999988|9|0.752380967|0.887640476|0.814433038|0.399999857|24|0.713043451|0.921348333|0.803921521|0.649999917|35|0.795454562|0.786516845|0.790960491|0.949999988|13|Right
Restaurants|Name|FastText|Euclidean Distance|Scarce|339678|764784|Restaurants|11|2|0.67|11|2|0.67|0.44|0.80898875|0.80898875|0.80898875|0.449999869|4|0.806818187|0.797752798|0.802259862|0.399999857|13|0.802325606|0.775280893|0.788571417|0.399999857|6|0.806451619|0.842696607|0.824175835|0.299999833|1981|0.802197814|0.820224702|0.811111152|0.399999857|5|0.80898875|0.80898875|0.80898875|0.449999869|5|0.759615362|0.887640476|0.818652809|0.299999833|25|0.802197814|0.820224702|0.811111152|0.399999857|12|Right
Restaurants|Name|FastText|WMD|Scarce|339678|764784|Restaurants|11|2|0.67|11|2|0.67|0.44|0|0|0|0|53|0.173913047|0.224719107|0.196078435|0.949999988|135|0.269911498|0.685393274|0.387301624|0.949999988|9|0.539682567|0.76404494|0.632558167|0.949999988|1881|0.28761062|0.730337083|0.412698418|0.949999988|23|0.610619485|0.775280893|0.683168292|0.899999976|59|0.551999986|0.775280893|0.644859791|0.949999988|90|0.305309743|0.775280893|0.438095242|0.949999988|89|Right
Restaurants|Name|Albert|Cosine Similarity|Scarce|268054|764784|Restaurants|11|2|0.67|11|2|0.67|0.35|0.714285731|0.112359554|0.194174767|0.949999988|3|0.10569106|0.146067411|0.122641519|0.949999988|9|0.480620146|0.696629226|0.568807304|0.949999988|6|0.519083977|0.76404494|0.618181825|0.949999988|1882|0.503816783|0.741573036|0.599999964|0.949999988|5|0.639999986|0.719101131|0.677248716|0.949999988|3|0.644859754|0.775280893|0.704081595|0.949999988|15|0.526717544|0.775280893|0.627272725|0.949999988|5|Right
Restaurants|Name|Albert|Euclidean Distance|Scarce|339678|764784|Restaurants|11|2|0.67|11|2|0.67|0.44|0.807228923|0.752808988|0.779069841|0.949999988|2|0.807228923|0.752808988|0.779069841|0.949999988|6|0.797468364|0.707865179|0.75|0.949999988|7|0.814814806|0.741573036|0.776470602|0.899999976|1859|0.807228923|0.752808988|0.779069841|0.949999988|4|0.807228923|0.752808988|0.779069841|0.949999988|3|0.807229074|0.752808988|0.779069841|0.949999988|17|0.807228923|0.752808988|0.779069841|0.949999988|4|Right
Restaurants|Name|Albert|WMD|Scarce|339678|764784|Restaurants|11|2|0.67|11|2|0.67|0.44|0.777777791|0.629213512|0.695652187|0.949999988|11|0.546296299|0.662921369|0.598984778|0.949999988|34|0.596153855|0.696629226|0.642487049|0.949999988|17|0.626168251|0.752808988|0.683673441|0.949999988|1899|0.611111104|0.741573036|0.6700508|0.949999988|15|0.752808988|0.752808988|0.752808988|0.949999988|14|0.752808988|0.752808988|0.752808988|0.949999988|43|0.620370388|0.752808988|0.680203021|0.949999988|11|Right
Restaurants|Phone|FastText|Cosine Similarity|Scarce|60765|764784|Restaurants|12|3|0.33|12|3|0.33|0.08|0.729729712|0.303370774|0.428571403|0.649999917|1|0.458823532|0.438202262|0.448275864|0.649999917|3|0.40196079|0.460674167|0.429319352|0.549999893|5|0.442477882|0.561797738|0.495049536|0.199999839|1865|0.445454538|0.550561786|0.492462277|0.449999869|3|0.567901254|0.516853929|0.541176498|0.449999869|2|0.494505495|0.505617976|0.5|0.549999893|6|0.446428567|0.561797738|0.49751243|0.399999857|4|Right
Restaurants|Phone|FastText|Euclidean Distance|Scarce|84976|764784|Restaurants|12|3|0.33|12|3|0.33|0.11|0.800000012|0.134831458|0.230769217|0.74999994|2|0.25|0.23595506|0.242774561|0.499999881|27|0.327433616|0.415730327|0.366336644|0.599999905|6|0.383928567|0.483146071|0.427860707|0.349999845|1903|0.371681422|0.471910119|0.415841579|0.549999893|9|0.50746268|0.38202247|0.43589744|0.599999905|14|0.417582422|0.42696628|0.422222227|0.599999905|32|0.371681422|0.471910119|0.415841579|0.599999905|26|Right
Abt-Buy|Name|FastText|Cosine Similarity|Balanced|1157776|1157776|E-commerce|56|11|1|53|11|1|1|0.925619841|0.104089223|0.187134504|0.899999976|7|0.457805902|0.201672867|0.280000001|0.849999964|55|0.415094346|0.32713756|0.365904391|0.799999952|21|0.559479535|0.559479535|0.559479535|0.199999839|1092|0.489851147|0.336431235|0.398898065|0.849999964|14|0.816993475|0.232342005|0.361794502|0.799999952|12|0.693578005|0.351301104|0.466378778|0.74999994|88|0.520897031|0.47490707|0.49684006|0.74999994|45|Left
Abt-Buy|Name|FastText|Euclidean Distance|Balanced|1157776|1157776|E-commerce|56|11|1|53|11|1|1|0.925233662|0.092007436|0.167371079|0.549999893|7|0.45103094|0.162639409|0.239071041|0.399999857|128|0.377049178|0.342007428|0.358674467|0.399999857|25|0.547574639|0.545539021|0.546554923|0.149999842|1083|0.427878797|0.328066915|0.371383488|0.449999869|16|0.817869425|0.221189588|0.348207742|0.399999857|48|0.679849327|0.33550185|0.449284375|0.399999857|148|0.494834721|0.445167273|0.468688846|0.399999857|113|Left
Amazon-Google Products|Title|FastText|Cosine Similarity|One-sided|4112583|4114806|E-commerce|35|7|1|57|11|1|1|0.712538242|0.211050719|0.3256464|0.849999964|26|0.463810921|0.284420282|0.352610916|0.849999964|49|0.435328901|0.5335145|0.479446471|0.399999857|76|0.429837525|0.527173936|0.473555744|0.249999836|2219|0.435328901|0.5335145|0.479446471|0.399999857|275|0.663265288|0.412137687|0.508379877|0.649999917|169|0.573280156|0.520833313|0.545799673|0.399999857|2277|0.482248515|0.590579689|0.530944645|0.449999869|5631|Right
Amazon-Google Products|Title|FastText|Euclidean Distance|One-sided|4114806|4114806|E-commerce|35|7|1|57|11|1|1|0.719512224|0.160326093|0.26222223|0.449999869|31|0.443014711|0.218297094|0.29247573|0.399999857|224|0.406203836|0.498188406|0.447518289|0.149999842|99|0.400890857|0.489130437|0.440636456|0.099999845|2191|0.406203836|0.498188406|0.447518289|0.149999842|290|0.655536056|0.337862313|0.445905536|0.249999836|1034|0.559754848|0.496376812|0.526164174|0.149999842|2563|0.456425399|0.559782624|0.50284785|0.149999842|5623|Right
DBLP-ACM|Title|FastText|Cosine Similarity|Balanced|6001104|6001104|Bibliographic|56|8|1|57|8|1|1|1|0.909622312|0.952672482|0.949999988|36|0.974778116|0.938399255|0.956242859|0.5|515|0.970249534|0.909172654|0.938718677|0.899999976|177|0.971620977|0.908273399|0.938879848|0.899999976|2049|0.975499094|0.966726601|0.971092999|0.899999976|57|0.995720387|0.941546738|0.967876136|0.899999976|43|0.988495171|0.965827346|0.977029741|0.799999952|521|0.971390247|0.977068365|0.974220991|0.799999952|167|Left
DBLP-ACM|Title|FastText|Euclidean Distance|Balanced|6001104|6001104|Bibliographic|56|8|1|57|8|1|1|0.999508381|0.914118707|0.954908371|0.599999905|34|0.974263012|0.936151087|0.954826891|0.549999893|61|0.963514149|0.902428031|0.931971192|0.499999881|148|0.976811588|0.909172654|0.941779256|0.449999869|2027|0.979329348|0.958633065|0.968870699|0.549999893|39|0.99714011|0.940647483|0.968070388|0.549999893|40|0.987574756|0.964928031|0.976120055|0.349999845|2070|0.975664735|0.973471224|0.974566698|0.449999869|81|Right
DBLP-ACM|Title|FastText|WMD|Balanced|6001104|6001104|Bibliographic|56|8|1|57|8|1|1|0|0|0|0|1085|0.232673272|0.14793165|0.180868611|0.949999988|1489|0.784219682|0.80890286|0.796370149|0.899999976|156|0.839231133|0.863758981|0.851318479|0.649999917|2045|0.78593272|0.80890286|0.797252357|0.949999988|962|0.982554853|0.785071969|0.872781813|0.949999988|1474|0.969476759|0.899730206|0.933302283|0.949999988|3791|0.886660874|0.914568365|0.900398433|0.899999976|9288|Left
DBLP-ACM|Title|Albert|Cosine Similarity|Balanced|5935306|6001104|Bibliographic|56|8|1|57|8|1|0.99|0.997175157|0.158723027|0.273855716|0.949999988|71|0.318658292|0.20503597|0.249521211|0.949999988|372|0.853065073|0.819694221|0.836046755|0.949999988|156|0.852631569|0.874100745|0.863232672|0.449999869|2045|0.894712627|0.875|0.884746492|0.949999988|80|0.988959014|0.845773399|0.911778927|0.949999988|71|0.98124992|0.917715847|0.948420048|0.949999988|445|0.955596685|0.928956807|0.942088485|0.949999988|115|Left
DBLP-ACM|Title|Albert|Euclidean Distance|Balanced|6001104|6001104|Bibliographic|56|8|1|57|8|1|1|0.998963177|0.866456807|0.928003848|0.149999842|34|0.974614263|0.88039571|0.925112247|0.149999842|58|0.949088931|0.796312928|0.8660146|0.099999845|139|0.977557421|0.842176259|0.904830933|0.149999842|2021|0.970091641|0.904226601|0.936001837|0.099999845|63|0.995456815|0.886690676|0.937931001|0.099999845|47|0.979386406|0.918615103|0.948027849|0.049999844|2230|0.974915564|0.908722997|0.940656245|0.099999845|83|Left
